,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_reg_lambda,param_min_child_weight,param_feature_fraction,param_bagging_fraction,param_bagging_freq,mean_test_score,std_test_score,rank_test_score
319,949,0.041989023721258754,22,8,5.429279584332947,27,0.5398497429092002,0.7119780618179735,3,-0.720942597525536,0.05211931448942901,1
362,980,0.04239476960927639,21,8,5.150458888682317,28,0.542200976609003,0.7116464500901246,3,-0.7215350581178857,0.05169170405803351,2
434,1003,0.041995582658143765,20,8,5.464138147161016,27,0.5392906727744652,0.7115650853124528,3,-0.7221468414928657,0.05178414298412928,3
37,1028,0.04381571430801035,20,8,5.0200936014875275,28,0.5435114646088228,0.711177110679407,3,-0.7223050520324333,0.05195215029148288,4
466,1057,0.04252912861455056,21,8,5.781433504311627,27,0.5367869787166802,0.7116417343972985,3,-0.7224339969977162,0.05060323949526651,5
236,1219,0.04373774410722206,21,8,5.631633286942224,27,0.521506684757239,0.7119270345447962,3,-0.7225640525669448,0.05067232458307636,6
83,1014,0.04302832480816982,22,8,5.266558927058482,27,0.5381530211017962,0.7115851495323254,3,-0.7226819053203497,0.05009789973474933,7
57,1024,0.04078316453915719,20,8,5.023688373347015,28,0.5426337660489016,0.7119611905638239,3,-0.7227970935991864,0.04975363218384966,8
392,952,0.04280013709108842,22,7,5.940094332404018,28,0.5421106068875494,0.711809183171139,3,-0.7228416974841616,0.05182843277149003,9
65,971,0.04315847257117822,20,8,5.074826388021638,27,0.5397894760931462,0.7117523745294376,3,-0.7228769587445479,0.05267138369736527,10
422,1072,0.04095663511112897,21,8,5.098286552801776,27,0.5447552223396905,0.7115822087597682,3,-0.7229802284336102,0.05185208908515283,11
449,1243,0.042967585307834864,20,8,6.164853039554385,27,0.5365761797950855,0.711224293483285,3,-0.7229967560217396,0.05055670884438561,12
354,1224,0.0433756984504469,20,7,5.570100035098666,28,0.5408329267868254,0.7110494968534936,3,-0.7230026482639454,0.05095326932154272,13
264,1089,0.04350442077039217,20,7,5.022994152497234,28,0.5434112293470915,0.7115942907505617,3,-0.72305056571553,0.05139894723410341,14
482,1020,0.041589792627596364,21,8,5.37894446320084,27,0.5396692375839282,0.7112833047624249,3,-0.723179318104107,0.05038046809553066,15
185,1093,0.04389395587670959,20,7,5.169112112169821,28,0.5417884201538095,0.7110457420338124,3,-0.7231892992236953,0.0494480861425568,16
464,988,0.04161810954229548,21,7,5.371485821970518,28,0.538317476264757,0.7113340499656687,3,-0.7232880569714465,0.051256663226466534,17
405,1147,0.04270056024459867,20,7,5.503943447092341,28,0.5434080288492289,0.7113773136614063,3,-0.7232970204646578,0.05148889697389739,18
47,1074,0.042065201393204785,21,8,5.352081926640697,27,0.5443963019865634,0.7117260913337227,3,-0.7233111637916648,0.05165896225886503,19
413,982,0.043293237719282875,21,8,5.129826867477032,28,0.5366716665137731,0.711043006951867,3,-0.7233353337055931,0.05171342404645624,20
74,943,0.042092391376680596,20,7,5.590903384198105,27,0.5442325633904775,0.7115538542844013,3,-0.723341421876178,0.05159571081401018,21
295,1172,0.04303470556044402,22,7,5.397285480137279,28,0.5387386371117222,0.7110110316142624,3,-0.7233578958056653,0.05275330247282799,22
331,1145,0.04260667167482571,20,8,6.0650316363328995,27,0.5425324002693662,0.7119880655666527,3,-0.723360067515704,0.05077943267074666,23
24,1132,0.043942601816442405,22,8,5.30892880719012,28,0.5322363190069391,0.7111448948720912,3,-0.7233912604640359,0.05117637024984574,24
141,1124,0.0413672694067915,21,7,5.044496544066688,27,0.5404360890434611,0.711892671711077,3,-0.7234231820532698,0.051112278450584095,25
110,1248,0.04128941537989889,21,7,5.003524169238629,28,0.5447490058097486,0.7110633749704728,3,-0.7234737382338933,0.05120205362969499,26
381,1196,0.04052948951613989,22,8,5.693402617394971,27,0.5426735702208708,0.7117108847166823,3,-0.7234852194624636,0.050601358468811745,27
438,1135,0.04380371437801019,22,7,6.023813811616413,28,0.5429606608036353,0.711754264973347,3,-0.7235107534358104,0.05116795351521758,28
346,1205,0.04208578275617436,20,7,5.778672060630374,28,0.5413924023459386,0.7119954375161913,3,-0.7235211882522998,0.049886607112888545,29
19,1050,0.041088528997538544,22,8,5.45833951323442,28,0.5426707110386438,0.711356297838077,3,-0.7235801866165431,0.04984043148348767,30
0,1032,0.04292797576724562,20,8,5.202792876437064,27,0.5437678576602479,0.7113745401188474,3,-0.7236209811055782,0.05122182183073086,31
437,1170,0.043973020061691855,20,7,5.510195642098324,27,0.5429882756164013,0.7113978366255022,3,-0.7236245756764847,0.04941750430951758,32
369,1077,0.043560388140735234,20,7,5.033082087877476,27,0.5235648536020477,0.7114305293384622,3,-0.7236514677542782,0.052746293789622874,33
188,1013,0.04119349772395997,21,8,5.170735664332192,27,0.5406480191449974,0.7115270240962118,3,-0.7236568796246066,0.051030379651323024,34
476,1212,0.04085867145589015,21,8,5.425158037397363,27,0.5384852057457828,0.7116172490208487,3,-0.7236606691987293,0.05001302045377902,35
162,1037,0.0429514230676261,20,8,5.5427579092362596,28,0.5365413793770135,0.7115384014903807,3,-0.723662910135595,0.05282586545333845,36
34,951,0.04123224316740956,22,8,5.766832101828707,27,0.5380234981063032,0.7117441705230565,3,-0.723667345359045,0.04974677067257434,37
43,1072,0.0431831706777444,22,8,5.752524364159826,27,0.5375491719314426,0.7116499639307777,3,-0.723694384428722,0.05144071075764055,38
154,1031,0.040009357562503116,22,8,5.134021869817868,28,0.5219441336019739,0.7110759334103696,3,-0.7237292078543307,0.053066829406211415,39
358,1179,0.04118691056441636,21,7,5.002034636748915,27,0.5368651963229054,0.7112581732541912,3,-0.7237637802631682,0.051441479012175134,40
271,1142,0.042141240525810364,20,8,5.313561894879404,27,0.523427742643225,0.7117602898231221,3,-0.7237669159599244,0.051413966927087836,41
233,1082,0.04365694606380588,20,8,5.193689412761253,28,0.5411791840343144,0.711951478559666,3,-0.7237778273222673,0.052182440172979634,42
218,1037,0.04178547458605034,22,7,5.145495505217046,27,0.5376346398528051,0.711781790329845,3,-0.7237907938470511,0.051665740776067816,43
443,1038,0.04355554969601452,21,7,5.331901799455111,28,0.5405790207677215,0.7117631083636012,3,-0.7238031724526447,0.0527932066645107,44
181,1153,0.042029870935043345,22,7,5.802004993888465,28,0.5408033544489436,0.711817967024119,3,-0.723843021002603,0.050543604215195465,45
139,1152,0.0438505972742195,20,7,6.165236564077456,28,0.5401712537240647,0.7116031974021769,3,-0.7238462952996658,0.051549190918606255,46
367,992,0.043430249350645135,22,7,5.41452686381748,27,0.540560559341707,0.7117983803405183,3,-0.72385095654386,0.05038180670281355,47
134,1042,0.04181315533899211,21,8,5.646115533467624,28,0.5393881904173753,0.7110657086394283,3,-0.7238759652701566,0.05065526065077983,48
421,1053,0.042413167222859774,20,7,5.873134966009839,27,0.5434344609541081,0.7117101354317981,3,-0.7239050907488421,0.05114223290822142,49
99,1048,0.042130469065820096,22,7,5.236969042018745,28,0.5311853091705864,0.7111071720113398,3,-0.7239089721064191,0.05001227619280316,50
394,945,0.04002435499295936,22,8,5.099920697859012,27,0.5374439069018357,0.7115770406644619,3,-0.7239485581227159,0.051645218848707375,51
132,1070,0.042008780041324974,20,8,5.974948611518931,28,0.5449218562961488,0.7110853496680786,3,-0.7239507941643751,0.051881830041534883,52
160,1088,0.04331566189660271,20,8,5.299011488474014,28,0.5279775118310814,0.711844549398535,3,-0.7239582884792488,0.05276279213573798,53
151,998,0.04158659749220822,21,8,5.279422492167984,28,0.5437326699264442,0.7116104046670079,3,-0.7239658812240064,0.049124903225127144,54
208,1149,0.041663629464587765,20,8,5.998041054486814,28,0.5440195137871744,0.7111741933365782,3,-0.7239850583876148,0.051459085957935205,55
145,1038,0.04393760872281421,21,8,5.35399952447518,27,0.5408732559199825,0.7111393560740727,3,-0.7239879552408421,0.04982504170196704,56
39,1152,0.041941119497105266,21,8,5.904838735677465,27,0.526711871422254,0.7111909110311503,3,-0.724005350144168,0.05206874748082374,57
27,1058,0.04154694138520215,21,7,5.443386256365336,28,0.5372734434525617,0.711174366429005,3,-0.7240900004280888,0.051624412190471064,58
286,1051,0.04198419135471955,20,8,5.411999220548428,28,0.5368995568896588,0.7119283175328486,3,-0.7241023469463544,0.05126438114642724,59
60,1028,0.042274081134999836,22,8,5.165996648249205,27,0.530586773557703,0.711547971883248,3,-0.7241317204673237,0.05186254165095927,60
489,998,0.04274053723949794,22,7,5.40274893791921,28,0.540353142139779,0.7118816906118435,3,-0.7241676777672442,0.052223571767757104,61
411,1193,0.040143754699686215,20,7,5.163441549689894,28,0.5388505758732096,0.7117962405955628,3,-0.7241718434477888,0.05069495542370159,62
467,1147,0.04376508979296741,20,8,5.674311292694774,27,0.5281313476481139,0.7119903617819984,3,-0.7242045372641985,0.05173581380704585,63
445,953,0.043343303711642064,20,8,5.8510458929257405,28,0.540271964525198,0.711409412071817,3,-0.7242294027901187,0.0522755047949365,64
465,976,0.04132982462859485,21,7,6.227783157502595,28,0.5371360970805475,0.7114327668795992,3,-0.7242502156350691,0.05018874992618535,65
61,1112,0.04346846642883889,20,7,5.9618813885815864,28,0.5345136003085977,0.711250016449216,3,-0.7242539153406077,0.05108478444609587,66
28,1181,0.04350935741352392,22,8,6.0623888602615805,27,0.5431173404569641,0.7111134735212405,3,-0.724265492809508,0.05212865062187141,67
190,987,0.041769195049523644,22,8,5.941749474398352,27,0.5390023519609525,0.7119645204722702,3,-0.7242680276146964,0.05174583522818847,68
429,1201,0.04341513968681867,21,8,6.236858753470382,27,0.5398285718499185,0.711981192529164,3,-0.7243062585431552,0.05293438437428028,69
129,1180,0.04180887176355923,22,7,5.322694375584297,27,0.5384375312027437,0.7113469532018962,3,-0.7243339943879843,0.05154553295868304,70
376,1234,0.043094155566138256,20,7,5.704216256133005,27,0.5442685538419312,0.7110309376447314,3,-0.7243439772996987,0.051792866911294,71
462,1012,0.04374118839418131,21,7,5.015803802920603,28,0.5278215790213783,0.7110708915758912,3,-0.7243827528483668,0.04835027975708454,72
195,1001,0.0412414478356943,20,7,5.094180954132926,27,0.5399389775159297,0.7112689934044351,3,-0.7244062282339149,0.05294693847179646,73
383,1037,0.04379644857235776,21,8,5.981007588078169,28,0.5442401931712024,0.7110344612594249,3,-0.7244221434324367,0.052992381516561785,74
287,1078,0.04217606631673101,20,8,6.09459811875708,27,0.5264607905072954,0.7118792686599978,3,-0.7244256862443262,0.05295672740894594,75
417,1091,0.043080632847028386,21,7,5.345257682846188,27,0.5204236916222396,0.7111255502147626,3,-0.7244439853809387,0.050458230724027595,76
372,974,0.04390980847196147,22,8,5.1290928635798005,27,0.5257121686688693,0.7119720252564966,3,-0.7244720140251973,0.052448868926392715,77
235,1053,0.04172344836615213,22,7,5.3165269855491895,27,0.5405598354704265,0.7115212341324852,3,-0.7244867675512285,0.051070703249920364,78
299,1091,0.04281177376391471,21,8,6.046485699585,28,0.5256359688865924,0.7111041373579202,3,-0.724494814721065,0.05164197091917907,79
427,1139,0.04248363436087083,21,8,5.710550284641983,28,0.5440577550746947,0.7119490711963148,3,-0.7245045397526164,0.05098627975274196,80
420,988,0.043121504494283924,20,8,6.169291776309932,28,0.5395799603324657,0.7118985606046748,3,-0.7245183513552499,0.052203690142398014,81
275,977,0.043771324565653046,21,7,5.363178028115131,28,0.5364673036551861,0.7111021495296576,3,-0.7245258997800795,0.050699032235394605,82
457,1200,0.04198503501152945,22,8,6.022067347939375,28,0.543677266677713,0.7115620727944025,3,-0.7245310958727336,0.052511225093166546,83
257,1109,0.042215208962849506,22,8,5.581363302656286,27,0.5434239455757766,0.7110876427467638,3,-0.7245319695794895,0.05073781393905628,84
166,1222,0.04341128728676761,21,7,5.360445339405806,28,0.5274250719113721,0.7114673107665376,3,-0.7245396995136101,0.05177533282601171,85
211,1154,0.041863251228080996,20,7,6.008800269146058,27,0.529596178796695,0.7113591510296662,3,-0.7245565052967152,0.05169371724684298,86
189,1232,0.040125209254990066,20,8,6.114568119720248,27,0.5440809163360033,0.7118680543225323,3,-0.7245607459449849,0.050314027532493234,87
377,1038,0.0417617654012497,21,7,5.230322202853425,28,0.5408412490484397,0.7117619018126048,3,-0.7245647433511226,0.0512763095919613,88
35,1206,0.04362439515087422,22,8,5.838634370639735,28,0.5321685538239864,0.711978892858275,3,-0.7245816572530106,0.05329789769314484,89
111,1024,0.042424407524223356,22,7,6.105945698021391,28,0.5318291550262974,0.7111166960641416,3,-0.7245830670722689,0.052690897577707826,90
373,1191,0.041656600897312906,22,7,5.1911804057365645,28,0.5431409332506334,0.7112088640707057,3,-0.7245880624997045,0.05172692302913868,91
173,1196,0.04357968576491136,20,7,5.508520695904494,28,0.5208716290058456,0.7117478716040921,3,-0.7245881007014876,0.05081307363313092,92
85,1235,0.04208123080361517,21,8,6.061301455776981,27,0.53678932988982,0.7111135575921996,3,-0.7245947075858608,0.05211678622713008,93
36,964,0.04092074107296622,22,8,5.839113984679318,28,0.5416041891267976,0.7116689240596631,3,-0.7245951016429172,0.05001002736526869,94
5,982,0.04323358939246585,20,8,5.889502934465804,28,0.544140800826864,0.7119488855372533,3,-0.7246170579297161,0.05271942900709014,95
327,1231,0.043427495744300375,20,7,6.257264599836922,28,0.5441938969275848,0.7117985932723827,3,-0.7246237535930057,0.053006076371955674,96
165,994,0.04159314953590254,21,8,5.004350270655873,27,0.5267921742767251,0.7115807572072272,3,-0.7246245718584077,0.05254832782535026,97
115,1108,0.04180779440519616,21,7,5.391791236413384,28,0.5370745515854283,0.711588306675795,3,-0.724631898902539,0.05153583701943596,98
365,1223,0.04086420546004675,20,8,5.503610361369257,27,0.5402005657476638,0.7119101346367821,3,-0.7246417356742885,0.048972140681508645,99
364,1240,0.04277952949470384,22,7,5.519179372913098,27,0.540500315727984,0.7119912632267336,3,-0.724643172523184,0.051868624137944394,100
412,994,0.04020879451617989,21,8,5.110943737429622,28,0.5443647952833832,0.711737096550432,3,-0.7246712547919464,0.04944146515086056,101
178,1098,0.043402326916376965,22,7,6.088117326872774,28,0.5364612958664606,0.7117974260216069,3,-0.7247050871848837,0.05181958790510715,102
356,1121,0.04202964775487124,20,7,5.058309638430639,27,0.5286305785700424,0.7111138383934765,3,-0.7247057971581479,0.05031486862748043,103
485,1036,0.04199772707946734,21,7,6.019183566296162,28,0.540841078353599,0.7116379542626847,3,-0.7247154274221981,0.049249154032564205,104
451,988,0.04216988401385063,20,7,5.707846046835025,28,0.5390620721118888,0.7112204884346891,3,-0.7247157370325412,0.05258411121495914,105
375,988,0.04218152448487321,20,7,5.197059580730844,27,0.544871449326483,0.7114441277131657,3,-0.7247183631670915,0.05172041896662286,106
112,1005,0.04373175226839982,22,7,5.086445147576811,27,0.5302129573233979,0.7117459745255487,3,-0.7247220772949046,0.05300118726212817,107
303,1127,0.041684992213176286,22,7,6.091742971326303,27,0.5360641299883798,0.7119331133313436,3,-0.7247265073892069,0.053232013575851445,108
335,1176,0.043422949035623146,20,7,5.100201415536899,28,0.524372035929399,0.7110696411481624,3,-0.7247336617194942,0.04978841885917834,109
240,976,0.04220090616862505,20,7,5.003359219298477,28,0.540149813744379,0.7114835456467199,3,-0.724743039410909,0.05186127372768189,110
395,942,0.04282834590906679,21,8,5.383877642262326,28,0.5398628886122687,0.7115006242680704,3,-0.7247435440712884,0.05245324529191818,111
430,1068,0.04392457492716729,20,7,5.568094651365307,28,0.5377930701436512,0.7119948192939659,3,-0.7247474307266272,0.05073945975454077,112
398,961,0.040751371410151095,22,8,5.5901309025408645,27,0.538990285717495,0.7114161214280711,3,-0.7247476918553463,0.04999460494007199,113
470,1224,0.04275911539699249,21,7,5.098258698010287,27,0.5337401567132689,0.7116307004711587,3,-0.7247741632511376,0.0516900037930408,114
22,1042,0.041988994023569544,20,8,5.047953031560892,27,0.5262945573956341,0.7119624472949421,3,-0.7247782213887168,0.051692305387518164,115
245,1007,0.04242837614435512,22,7,5.772819235742025,28,0.5360492875110817,0.7110236385860463,3,-0.7247806476685563,0.05230114691963165,116
8,1233,0.0435793094017106,21,7,5.115040252667495,27,0.5434874735391048,0.7117751328233611,3,-0.7247867183757244,0.05330219296416686,117
192,1103,0.04310638741116697,22,8,5.989331188225899,27,0.5417155791988902,0.7111855255157031,3,-0.7247945928874364,0.05262325993293024,118
396,984,0.04321393097318754,21,7,5.028634997590962,28,0.5270251124727179,0.711232384323056,3,-0.724837714504188,0.0505982441178659,119
254,1177,0.04389665851451206,21,8,5.316753730883026,27,0.5229957250504412,0.711382526280244,3,-0.7248393083244379,0.052970583440545164,120
397,1198,0.042195921797766565,21,7,5.279016495236443,27,0.5410557686585987,0.7115832574924561,3,-0.724847895685073,0.05224062975241674,121
156,1010,0.04303356965578273,22,7,5.94133432805508,27,0.5439542698250983,0.7110867052118621,3,-0.7248498869474933,0.050272444973689004,122
342,1246,0.04179936883189024,21,8,5.1254948112540735,27,0.535877227647743,0.7115326758867615,3,-0.7248696501598492,0.05312502033621763,123
484,1187,0.04014003165922722,22,7,6.135839796236892,27,0.5414955958847819,0.7119152571849178,3,-0.7248733646015022,0.05062447884937186,124
216,1186,0.04207909579422407,21,7,5.323328554363919,28,0.5242439476271885,0.71107349674733,3,-0.7248749391637466,0.051933113594399095,125
226,1233,0.04086270060959087,21,7,5.750340807725273,27,0.5369128346444312,0.7116895267510315,3,-0.7248754107582931,0.05037344510461393,126
158,1199,0.04222322632574872,21,7,5.906646347420892,28,0.5449838374891459,0.7115882637569699,3,-0.7248924101140632,0.050472513913394405,127
432,1176,0.04384054241762179,20,8,5.21017286710805,28,0.5435925398205055,0.7119078987937796,3,-0.7248969670207561,0.052957259375377666,128
148,1102,0.04253239225342979,20,7,5.544401682359695,27,0.5262682665140399,0.711732184578459,3,-0.7249165820382169,0.05112896011994197,129
175,1180,0.04112556384231011,22,7,5.063418656175125,28,0.5383803163630864,0.7119315894883189,3,-0.7249167408118936,0.05068429828675573,130
155,986,0.043848395143056475,20,7,5.67769086763764,28,0.5401857562954191,0.7113145965568094,3,-0.7249399098705779,0.049733606569842506,131
171,1170,0.0435351435398537,22,7,5.3383033783369855,28,0.5442275657535203,0.7110578426765634,3,-0.7249438158838851,0.051644872815860984,132
281,1065,0.040330470653837075,20,8,5.296195142806043,27,0.5306074221471222,0.7110687128325183,3,-0.724954939580771,0.05101927886549428,133
419,1040,0.042585834966551724,22,7,5.030673454039188,28,0.527495013189131,0.7110013536257155,3,-0.7249917244911541,0.05160909816925388,134
80,1196,0.04192148032746542,22,7,5.974451789968894,27,0.5394400570933806,0.7114112551165853,3,-0.7249946083492514,0.05171614750845639,135
247,997,0.04136436009789688,21,8,5.438395272582047,27,0.5203955272941396,0.7117245168513986,3,-0.7250008003735233,0.05095556095371373,136
250,1229,0.04108458974600074,21,7,5.593916238344479,27,0.5360042055957042,0.7110699316057094,3,-0.7250033588462528,0.05040044509864895,137
492,935,0.041274435851054427,20,7,6.077532659128846,27,0.5257945897572338,0.7112714987541818,3,-0.7250060646670163,0.05285997155190419,138
143,988,0.04045695170368159,21,8,5.612385088501958,28,0.5394939693697007,0.7119745472651988,3,-0.7250078995454159,0.05048478150872685,139
203,932,0.042190369504614945,21,7,5.684323459216947,28,0.5423704164015132,0.7110801148463847,3,-0.7250153808252071,0.05066988377541299,140
142,982,0.043095338092805364,20,8,5.285363682605246,28,0.5286298036220319,0.7118306545065652,3,-0.7250203649517681,0.05154489567825758,141
410,1239,0.04148464645914297,21,8,5.842027122381798,27,0.5379913454152633,0.7114157975006874,3,-0.72502189129015,0.05099082972113591,142
347,1145,0.04363850727774637,22,8,5.743304057662819,27,0.522346432120584,0.7111149329970595,3,-0.7250409233925916,0.053413812608629964,143
119,939,0.04057251194219388,21,7,6.139795327790274,28,0.5394642984762688,0.7117069804612435,3,-0.7250708800967567,0.04931143028190483,144
337,1181,0.04361443137738718,20,7,6.168501604634321,27,0.5389812183265211,0.7114083063427594,3,-0.7250736306529098,0.05097169598872893,145
41,968,0.040546485325768114,21,7,5.385463186742138,28,0.5412167448731169,0.7113225507642386,3,-0.7250781914710368,0.049135964714555266,146
11,1010,0.04002208846849441,22,8,5.947709318453284,27,0.5249678920383544,0.7117722447692966,3,-0.72509595353204,0.05214593430284156,147
176,1010,0.04043787544021782,20,8,5.643690485118166,27,0.5440530493148013,0.7115326025194008,3,-0.7250976340685491,0.052234830683529895,148
81,1034,0.04227632587666299,20,7,5.174007754440823,28,0.5407291055176628,0.7113929894489788,3,-0.7251040409798831,0.0522185662502871,149
349,1086,0.04379243328068577,21,7,5.308663508887248,28,0.5242645477889273,0.7111648246753467,3,-0.7251112794051745,0.04991000647539298,150
87,1121,0.04322017867007745,22,8,6.274601542620092,28,0.5359840339243561,0.7117846682639443,3,-0.7251114656026096,0.05309947599121769,151
248,1093,0.04105958178894693,20,7,5.521544288250677,27,0.5393155681862346,0.7119055247923296,3,-0.7251229349131344,0.04955420880604583,152
179,936,0.04247444551286074,21,7,6.1451319869586065,28,0.5370035192940076,0.7116974714616693,3,-0.7251323018786421,0.05107886311875193,153
338,975,0.04000075359822633,22,8,5.294749497800564,27,0.5418556681034588,0.7116507685475587,3,-0.7251325710667891,0.051357341972377867,154
152,1130,0.04238031172280102,22,8,5.616508501310481,27,0.5265566011074957,0.7110311831350612,3,-0.7251486271198064,0.0525266798971171,155
197,1005,0.04299664655640513,20,7,5.742175852397414,27,0.5381071327031604,0.7119078186529846,3,-0.7251494585555947,0.050190973391468524,156
298,1150,0.04160930849874622,22,8,5.940426195295972,28,0.5296918398687599,0.7111813192799255,3,-0.725161905702937,0.05145414570130742,157
344,1054,0.040192571343913415,21,8,5.442527596354434,27,0.5385798299682901,0.7112999191115069,3,-0.7251799190547394,0.05067382431209133,158
296,949,0.0414732381220274,20,8,6.152054514604597,28,0.5449083584406812,0.7118766507618282,3,-0.7251820806696219,0.05020635749525168,159
121,1024,0.04288901027357227,21,7,5.90213297780723,27,0.5257312848808161,0.7111499174273488,3,-0.7251942047819585,0.052061357260640456,160
497,1091,0.042538557025949525,22,7,5.275462629572142,28,0.5230373847771942,0.7118816624823326,3,-0.7252008985452771,0.05108307248249227,161
459,1097,0.042235922536399094,20,7,5.558474726648884,27,0.5224378581410225,0.7118432780909364,3,-0.7252071706237121,0.05174861228731315,162
452,1068,0.04312252686970223,20,8,5.055148987668959,27,0.5241830326000265,0.7117093208284726,3,-0.7252283500204065,0.0523939762587102,163
378,1021,0.0409401488592153,22,7,5.180955711749404,27,0.536934683037968,0.7115074463661197,3,-0.7252329777135325,0.05046918830868216,164
357,1001,0.0406608157573514,22,8,5.87222590616526,28,0.5432356673618278,0.711450597018983,3,-0.7252330392505764,0.05096827896149791,165
75,941,0.04360463204196396,20,8,6.235534929299527,27,0.5346078577980775,0.711627558080084,3,-0.7252362693395151,0.05283797179952086,166
